,MODEL,MAKE,MODEL.1,VEHICLE CLASS,ENGINE_SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL_CONSUMPTION,Additional_Fuel_Consumption_1,Additional_Fuel_Consumption_2,Additional_Fuel_Consumption_3,CO2_EMISSIONS
213,2001,DODGE,RAM 1500 4X4,PICKUP TRUCK - STANDARD,5.2,8,A4,X,21.6,15.5,18.9,15,435
659,2001,VOLVO,C70 TURBO,COMPACT,2.3,5,M5,Z,12.9,9.1,11.2,25,258
287,2001,FORD,RANGER 4X4,PICKUP TRUCK - STANDARD,4.0,6,M5,X,16.9,13.1,15.2,19,350
274,2001,FORD,GRAND MARQUIS,FULL-SIZE,4.6,8,A4,X,14.9,10.2,12.8,22,294
209,2001,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,5.2,8,A4,X,20.0,13.7,17.2,16,396
45,2001,BMW,330Ci,SUBCOMPACT,3.0,6,A5,Z,13.1,9.1,11.3,25,260
309,2001,GMC,JIMMY 4X4,SUV,4.3,6,A4,X,17.2,12.8,15.2,19,350
455,2001,MERCEDES-BENZ,ML 430 4X4,SUV,4.3,8,A5,Z,16.5,12.7,14.8,19,340
46,2001,BMW,330Ci,SUBCOMPACT,3.0,6,M5,Z,12.8,8.7,10.9,26,251
101,2001,CHEVROLET,C1500 SUBURBAN,SUV,5.3,8,A4,X,18.7,14.9,17.0,17,391
380,2001,JEEP,CHEROKEE 4X4,SUV,4.0,6,M5,X,15.2,11.5,13.6,21,313
52,2001,BMW,330xi,COMPACT,3.0,6,M5,Z,13.4,9.4,11.6,24,267
268,2001,FORD,FOCUS #,COMPACT,2.0,4,A4,X,10.9,8.2,9.7,29,223
40,2001,BMW,325Ci CONVERTIBLE,MINICOMPACT,2.5,6,M5,Z,13.9,9.5,11.9,24,274
416,2001,MAZDA,626,MID-SIZE,2.5,6,M5,Z,13.3,10.1,11.8,24,271
41,2001,BMW,325i,COMPACT,2.5,6,A5,Z,13.3,9.4,11.5,25,265
154,2001,CHRYSLER,INTREPID,FULL-SIZE,3.5,6,AS4,X,14.7,9.9,12.5,23,288
377,2001,JAGUAR,XKR #,SUBCOMPACT,4.0,8,A5,Z,16.3,11.7,14.2,20,327
462,2001,MERCEDES-BENZ,SLK 230 KOMPRESSOR,TWO-SEATER,2.3,6,A5,Z,11.8,8.7,10.4,27,239
170,2001,CHRYSLER,TOWN & COUNTRY,MINIVAN,3.3,6,A4,X,14.9,10.6,13.0,22,299
96,2001,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A4,X,16.0,11.8,14.1,20,324
590,2001,TOYOTA,CAMRY SOLARA,COMPACT,3.0,6,A4,X,13.5,9.5,11.7,24,269
658,2001,VOLVO,C70 TURBO,COMPACT,2.3,5,A5,Z,13.3,9.6,11.6,24,267
650,2001,VOLKSWAGEN,PASSAT 4MOTION WAGON,STATION WAGON - MID-SIZE,2.8,6,A5,Z,15.3,10.7,13.3,21,306
71,2001,BMW,X5,SUV,3.0,6,M5,Z,17.3,12.5,15.1,19,347
238,2001,FORD,E150 VAN,VAN - CARGO,4.6,8,A4,X,16.7,12.3,14.7,19,338
39,2001,BMW,325Ci CONVERTIBLE,MINICOMPACT,2.5,6,A5,Z,13.7,9.7,11.9,24,274
220,2001,DODGE,RAM 1500 WAGON,VAN - PASSENGER,5.2,8,A4,X,20.0,13.8,17.2,16,396
570,2001,SUZUKI,ESTEEM,SUBCOMPACT,1.6,4,M5,X,8.8,6.8,7.9,36,182
290,2001,FORD,TAURUS WAGON,STATION WAGON - MID-SIZE,3.0,6,A4,X,14.9,9.8,12.6,22,290
631,2001,VOLKSWAGEN,JETTA,COMPACT,1.8,4,A4,Z,11.9,9.1,10.7,26,246
264,2001,FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.6,8,M5,X,18.4,13.9,16.4,17,377
262,2001,FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.2,6,M5,X,17.2,13.5,15.5,18,357
503,2001,PONTIAC,FIREBIRD,SUBCOMPACT,5.7,8,A4,Z,14.7,10.6,12.9,22,297
577,2001,SUZUKI,VITARA 4-DOOR 4X4,SUV,2.0,4,A4,X,11.7,9.9,10.9,26,251
597,2001,TOYOTA,COROLLA,COMPACT,1.8,4,A4,X,8.9,6.5,7.8,36,179
607,2001,TOYOTA,TACOMA,PICKUP TRUCK - STANDARD,2.4,4,M5,X,12.6,10.5,11.6,24,267
438,2001,MERCEDES-BENZ,C 240,COMPACT,2.6,6,M6,Z,14.5,9.6,12.3,23,283
254,2001,FORD,EXPLORER 4X4,SUV,4.0,6,A5,X,17.4,13.1,15.5,18,357
397,2001,KIA,SPORTAGE,SUV,2.0,4,M5,X,13.3,11.4,12.5,23,288
139,2001,CHEVROLET,S10 FFV,PICKUP TRUCK - SMALL,2.2,4,A4,E,19.6,14.3,17.2,16,275
351,2001,HYUNDAI,ACCENT,COMPACT,1.6,4,M5,X,10.0,7.0,8.6,33,198
25,2001,AUDI,A8 QUATTRO,FULL-SIZE,4.2,8,A5,Z,15.4,10.3,13.1,22,301
565,2001,SUBARU,LEGACY AWD,COMPACT,2.5,4,M5,X,12.5,9.3,11.0,26,253
589,2001,TOYOTA,CAMRY SOLARA,COMPACT,2.2,4,A4,X,11.5,8.1,10.0,28,230
472,2001,NISSAN,FRONTIER V6 #,PICKUP TRUCK - STANDARD,3.3,6,A4,Z,17.0,13.8,15.6,18,359
114,2001,CHEVROLET,CORVETTE,TWO-SEATER,5.7,8,M6,Z,13.9,9.4,11.9,24,274
21,2001,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,M6,Z,15.2,10.7,13.2,21,304
200,2001,DODGE,GRAND CARAVAN,MINIVAN,3.8,6,A4,X,15.3,10.9,13.3,21,306
125,2001,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.8,8,A4,X,17.1,13.6,15.5,18,357
283,2001,FORD,RANGER,PICKUP TRUCK - STANDARD,4.0,6,M5,X,15.3,12.0,13.8,20,317
456,2001,MERCEDES-BENZ,ML 55 AMG 4X4,SUV,5.5,8,A5,Z,19.0,14.6,17.1,17,393
507,2001,PONTIAC,GRAND AM,COMPACT,3.4,6,A4,X,12.5,8.0,10.4,27,239
234,2001,FORD,E150 CLUB WAGON,VAN - PASSENGER,4.2,6,A4,X,18.0,13.0,15.8,18,363
605,2001,TOYOTA,SIENNA,MINIVAN,3.0,6,A4,X,13.9,10.4,12.3,23,283
211,2001,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,5.9,8,A4,X,21.4,14.6,18.3,15,421
99,2001,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.8,8,M5,X,18.6,12.8,16.0,18,368
485,2001,NISSAN,SENTRA,COMPACT,2.0,4,A4,X,11.2,8.6,10.0,28,230
635,2001,VOLKSWAGEN,JETTA,COMPACT,2.8,6,A4,X,13.9,9.9,12.1,23,278
660,2001,VOLVO,C70 TURBO,COMPACT,2.4,5,A5,Z,12.9,9.1,11.2,25,258
561,2001,SUBARU,IMPREZA AWD,SUBCOMPACT,2.5,4,M5,X,12.8,9.3,11.2,25,258
339,2001,HONDA,CIVIC Si/Si-G,COMPACT,1.7,4,A4,X,9.3,7.2,8.3,34,191
121,2001,CHEVROLET,IMPALA,FULL-SIZE,3.4,6,A4,X,12.5,8.0,10.4,27,239
192,2001,DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,4.7,8,A4,X,19.6,13.9,17.0,17,391
502,2001,PONTIAC,FIREBIRD,SUBCOMPACT,3.8,6,M5,X,13.8,8.2,11.3,25,260
83,2001,BUICK,REGAL #,MID-SIZE,3.8,6,A4,Z,14.5,9.1,12.1,23,278
168,2001,CHRYSLER,SEBRING COUPE,COMPACT,3.0,6,AS4,X,13.8,9.6,11.9,24,274
557,2001,SUBARU,FORESTER AWD,SUV,2.5,4,M5,X,12.5,9.3,11.0,26,253
513,2001,PONTIAC,SUNFIRE,COMPACT,2.2,4,M5,X,12.2,8.1,10.4,27,239
383,2001,JEEP,LIBERTY 4X4,SUBCOMPACT,3.7,6,A4,Z,16.5,12.9,14.9,19,343
527,2001,SAAB,9-3 TURBO,MID-SIZE,2.0,4,M5,X,13.0,9.3,11.3,25,260
555,2001,SATURN,SW WAGON #,STATION WAGON - SMALL,1.9,4,M5,X,10.3,6.8,8.8,32,202
464,2001,MERCEDES-BENZ,SLK 320,TWO-SEATER,3.2,6,A5,Z,12.9,9.4,11.3,25,260
15,2001,AUDI,A4 QUATTRO,COMPACT,1.8,4,M5,Z,12.2,8.6,10.6,27,244
568,2001,SUBARU,LEGACY WAGON AWD,STATION WAGON - MID-SIZE,3.0,6,A4,Z,13.1,9.6,11.5,25,265
3,2001,ACURA,3.2TL,MID-SIZE,3.2,6,AS5,Z,13.8,8.8,11.6,24,267
205,2001,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,3.9,6,A4,X,16.9,12.9,15.1,19,347
478,2001,NISSAN,MAXIMA,MID-SIZE,3.0,6,A4,X,13.6,9.6,11.8,24,271
401,2001,LEXUS,IS 300,SUBCOMPACT,3.0,6,AS5,Z,14.9,11.1,13.2,21,304
298,2001,GMC,C1500 YUKON,SUV,4.8,8,A4,X,17.6,12.9,15.5,18,357
207,2001,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,3.9,6,M5,X,17.7,12.2,15.2,19,350
27,2001,AUDI,ALLROAD,SUV,2.7,6,M6,Z,16.5,12.2,14.6,19,336
396,2001,KIA,SPORTAGE,SUV,2.0,4,A4,X,14.6,11.8,13.3,21,306
366,2001,ISUZU,RODEO 4X4,SUV,3.2,6,M5,X,16.3,12.6,14.6,19,336
88,2001,CHEVROLET,ASTRO CARGO,VAN - CARGO,4.3,6,A4,X,15.4,11.4,13.6,21,313
241,2001,FORD,E250 VAN,VAN - CARGO,5.4,8,A4,X,20.8,16.1,18.7,15,430
13,2001,AUDI,A4,COMPACT,2.8,6,A5,Z,14.6,9.7,12.4,23,285
640,2001,VOLKSWAGEN,NEW BEETLE,SUBCOMPACT,1.8,4,M5,Z,11.0,8.6,9.9,29,228
554,2001,SATURN,SW WAGON #,STATION WAGON - SMALL,1.9,4,A4,X,10.6,7.3,9.1,31,209
473,2001,NISSAN,FRONTIER V6 #,PICKUP TRUCK - STANDARD,3.3,6,M5,Z,17.3,14.2,15.9,18,366
360,2001,INFINITI,G20,COMPACT,2.0,4,A4,X,11.6,8.5,10.2,28,235
90,2001,CHEVROLET,ASTRO PASSENGER,VAN - PASSENGER,4.3,6,A4,X,16.0,11.8,14.1,20,324
441,2001,MERCEDES-BENZ,CL 600,COMPACT,5.8,12,A5,Z,16.9,11.0,14.2,20,327
178,2001,DAEWOO,LEGANZA,MID-SIZE,2.2,4,M5,X,13.1,8.8,11.2,25,258
602,2001,TOYOTA,RAV4 4X4,SUV,2.0,4,A4,X,11.9,9.6,10.9,26,251
477,2001,NISSAN,FRONTIER V6 4X4 #,PICKUP TRUCK - STANDARD,3.3,6,M5,Z,17.6,14.6,16.2,17,373
630,2001,VOLKSWAGEN,GTI,COMPACT,2.8,6,M5,X,13.2,9.0,11.3,25,260
227,2001,DODGE,RAM 2500 WAGON CNG,VAN - PASSENGER,5.2,8,A4,N,21.4,16.1,19.0,15,359
641,2001,VOLKSWAGEN,NEW BEETLE,SUBCOMPACT,2.0,4,A4,X,11.9,9.0,10.6,27,244
368,2001,ISUZU,TROOPER 4X4,SUV,3.5,6,M5,X,17.7,13.7,15.9,18,366
193,2001,DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,4.7,8,M5,X,18.6,13.6,16.4,17,377
158,2001,CHRYSLER,NEON R/T #,COMPACT,2.0,4,M5,X,10.5,8.0,9.4,30,216
569,2001,SUZUKI,ESTEEM,SUBCOMPACT,1.6,4,A4,X,9.9,7.6,8.9,32,205
436,2001,MAZDA,TRIBUTE 4X4,SUV,3.0,6,A4,X,15.0,10.9,13.1,22,301
30,2001,AUDI,S8 QUATTRO #,MID-SIZE,4.2,8,A5,Z,17.8,11.9,15.1,19,347
583,2001,SUZUKI,XL-7 4X4,SUV,2.7,6,M5,X,15.2,12.5,14.0,20,322
338,2001,HONDA,CIVIC,COMPACT,1.7,4,M5,X,8.6,6.8,7.8,36,179
493,2001,OLDSMOBILE,AURORA,MID-SIZE,4.0,8,A4,Z,15.3,10.3,13.1,22,301
461,2001,MERCEDES-BENZ,SL 600,TWO-SEATER,5.8,12,A5,Z,20.8,13.4,17.5,16,403
490,2001,OLDSMOBILE,ALERO,COMPACT,2.4,4,M5,X,13.1,8.7,11.1,25,255
535,2001,SAAB,9-5 TURBO #,MID-SIZE,2.3,4,M5,Z,13.2,9.5,11.5,25,265
471,2001,NISSAN,FRONTIER V6,PICKUP TRUCK - STANDARD,3.3,6,M5,X,16.0,13.5,14.8,19,340
84,2001,CADILLAC,CATERA,MID-SIZE,3.0,6,A4,Z,15.4,10.9,13.4,21,308
42,2001,BMW,325i,COMPACT,2.5,6,M5,Z,13.0,8.7,11.0,26,253
295,2001,GMC,C1500 SIERRA,PICKUP TRUCK - STANDARD,4.8,8,A4,X,17.0,12.7,15.1,19,347
153,2001,CHRYSLER,INTREPID,FULL-SIZE,3.2,6,AS4,X,14.2,9.5,12.1,23,278
75,2001,BMW,Z3,TWO-SEATER,3.0,6,A5,Z,13.5,9.8,11.9,24,274
538,2001,SAAB,9-5 WAGON TURBO,STATION WAGON - MID-SIZE,3.0,6,A4,Z,14.4,9.8,12.3,23,283
519,2001,PORSCHE,911 CARRERA 4,MINICOMPACT,3.4,6,M6,Z,15.7,10.9,13.5,21,311
250,2001,FORD,EX SPORT TRAC 4X4,PICKUP TRUCK - STANDARD,4.0,6,A5,X,17.4,13.1,15.5,18,357
489,2001,OLDSMOBILE,ALERO,COMPACT,2.4,4,A4,X,12.7,8.8,10.9,26,251
318,2001,GMC,K1500 YUKON 4X4,SUV,5.3,8,A4,X,19.1,15.4,17.5,16,403
604,2001,TOYOTA,SEQUOIA 4X4,SUV,4.7,8,A4,X,19.3,15.1,17.4,16,400
643,2001,VOLKSWAGEN,NEW BEETLE TDI DIESEL,SUBCOMPACT,1.9,4,A4,D,8.1,5.9,7.1,40,192
606,2001,TOYOTA,TACOMA,PICKUP TRUCK - STANDARD,2.4,4,A4,X,12.7,11.0,11.9,24,274
572,2001,SUZUKI,ESTEEM WAGON,STATION WAGON - SMALL,1.8,4,M5,X,9.6,7.2,8.5,33,196
395,2001,KIA,SEPHIA,COMPACT,1.8,4,M5,X,11.7,8.9,10.4,27,239
202,2001,DODGE,GRAND CARAVAN AWD,MINIVAN,3.8,6,A4,X,15.6,11.3,13.7,21,315
248,2001,FORD,EX SPORT TRAC,PICKUP TRUCK - STANDARD,4.0,6,A5,X,16.7,12.5,14.8,19,340
514,2001,PONTIAC,SUNFIRE,COMPACT,2.4,4,A4,X,12.9,9.0,11.1,25,255
553,2001,SATURN,SL #,COMPACT,1.9,4,M5,X,10.3,6.8,8.8,32,202
344,2001,HONDA,ODYSSEY,MINIVAN,3.5,6,A4,X,14.9,10.2,12.8,22,294
466,2001,NISSAN,ALTIMA,COMPACT,2.4,4,A4,X,12.3,9.0,10.9,26,251
214,2001,DODGE,RAM 1500 4X4,PICKUP TRUCK - STANDARD,5.2,8,M5,X,22.1,15.3,19.1,15,439
208,2001,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,5.2,8,A4,X,20.1,13.9,17.3,16,398
300,2001,GMC,C1500 YUKON XL,SUV,5.3,8,A4,X,18.7,14.9,17.0,17,391
511,2001,PONTIAC,MONTANA,MINIVAN,3.4,6,A4,X,13.8,9.8,12.0,24,276
29,2001,AUDI,S4 QUATTRO,COMPACT,2.7,6,M6,Z,15.2,10.7,13.2,21,304
226,2001,DODGE,RAM 2500 WAGON,VAN - PASSENGER,5.9,8,A4,X,21.6,14.5,18.4,15,423
671,2001,VOLVO,V70 2.4T WAGON TURBO,STATION WAGON - MID-SIZE,2.4,5,A5,Z,13.3,9.5,11.6,24,267
362,2001,INFINITI,I30,MID-SIZE,3.0,6,A4,X,13.6,9.6,11.8,24,271
161,2001,CHRYSLER,SEBRING,MID-SIZE,2.4,4,A4,X,13.2,8.3,11.0,26,253
137,2001,CHEVROLET,S10 4X4,PICKUP TRUCK - STANDARD,4.3,6,M5,X,18.6,14.3,16.7,17,384
142,2001,CHEVROLET,TRACKER CONVERTIBLE 4X4,SUV,1.6,4,M5,X,10.5,9.0,9.9,29,228
106,2001,CHEVROLET,CAMARO,SUBCOMPACT,5.7,8,A4,Z,14.7,10.3,12.7,22,292
644,2001,VOLKSWAGEN,NEW BEETLE TDI DIESEL,SUBCOMPACT,1.9,4,M5,D,6.8,5.4,6.2,46,167
103,2001,CHEVROLET,C1500 TAHOE,SUV,5.3,8,A4,X,18.7,14.9,17.0,17,391
428,2001,MAZDA,MX-5 MIATA,TWO-SEATER,1.8,4,M6,Z,11.8,9.3,10.7,26,246
81,2001,BUICK,PARK AVENUE #,FULL-SIZE,3.8,6,A4,Z,14.5,9.1,12.1,23,278
257,2001,FORD,F150,PICKUP TRUCK - STANDARD,4.2,6,M5,X,16.2,12.6,14.6,19,336
426,2001,MAZDA,MX-5 MIATA,TWO-SEATER,1.8,4,A4,Z,12.0,9.3,10.8,26,248
311,2001,GMC,K1500 SIERRA 4X4,PICKUP TRUCK - STANDARD,4.3,6,A4,X,17.2,12.8,15.2,19,350
603,2001,TOYOTA,RAV4 4X4,SUV,2.0,4,M5,X,12.0,9.5,10.9,26,251
481,2001,NISSAN,PATHFINDER 4X4,SUV,3.5,6,M5,X,16.4,13.8,15.2,19,350
323,2001,GMC,SAFARI CARGO AWD,VAN - CARGO,4.3,6,A4,X,17.2,12.8,15.2,19,350
653,2001,VOLKSWAGEN,PASSAT WAGON,STATION WAGON - MID-SIZE,2.8,6,A5,Z,14.6,9.8,12.4,23,285
330,2001,GMC,SONOMA FFV,PICKUP TRUCK - SMALL,2.2,4,A4,X,14.2,10.1,12.3,23,283
263,2001,FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.6,8,A4,X,17.3,13.7,15.7,18,361
430,2001,MAZDA,PROTEGE,COMPACT,1.6,4,M5,X,9.8,8.0,9.0,31,207
315,2001,GMC,K1500 SIERRA 4X4,PICKUP TRUCK - STANDARD,5.3,8,A4,X,18.0,14.5,16.4,17,377
