,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
14231,33.0,0.323,0.932,,-4.794,0,0.122,6.66e-05,0.839,0.147,0.153,160.102,316520.0,4,8
110,11.0,0.431,0.967,1.0,-4.555,1,0.114,0.00159,0.0064,0.142,0.179,146.623,269440.0,4,6
15856,53.0,0.738,0.75,2.0,-5.034,0,0.135,0.0323,,0.102,0.801,96.112,3.101783333,4,9
1691,21.0,0.415,0.593,8.0,-11.603,1,0.0467,0.635,0.00226,0.229,0.473,120.138,241000.0,4,10
1523,68.0,0.747,0.574,1.0,-6.587,1,0.24,0.561,,0.1,0.436,127.981,175031.0,4,5
15354,28.0,0.657,0.791,10.0,-6.825,0,0.0272,0.611,0.000853,0.0486,0.901,138.003,199613.0,4,9
9527,41.0,0.813,0.649,10.0,-7.615,1,0.0818,0.108,0.0767,0.357,0.972,142.738,260070.0,4,1
9485,39.0,0.33,0.963,4.0,-1.163,0,0.0678,1.35e-06,0.509,0.194,0.593,160.004,261360.0,4,10
12308,29.0,0.499,0.132,4.0,-17.278,0,0.0403,0.852,0.00108,0.0621,0.362,89.165,238440.0,4,2
7233,58.0,0.371,0.973,10.0,-5.303,0,0.135,0.000641,0.00163,0.0423,0.444,127.721,164333.0,4,8
4127,50.0,0.447,0.21,9.0,-14.754,1,0.0265,0.715,3.04e-05,0.202,0.266,80.951,286961.0,4,1
12256,34.0,0.522,0.938,11.0,-4.23,0,0.0497,0.000672,0.145,0.125,0.304,111.093,255078.0,4,6
17849,36.0,0.573,0.574,6.0,-10.924,1,0.0563,0.11,0.0438,0.329,0.3,154.01,221679.0,4,6
10449,40.0,0.366,0.0642,7.0,-29.454,1,0.0314,0.934,0.483,0.0737,0.115,105.904,7.507866667,4,7
15153,53.0,0.535,0.92,7.0,-4.39,0,0.0535,0.031,1.43e-05,0.0493,0.587,95.987,200387.0,4,1
16786,58.0,0.585,0.394,6.0,-9.016,0,0.0321,0.676,,0.119,0.345,84.018,212963.0,4,9
12846,68.0,0.324,0.335,,-15.595,1,0.0355,0.099,1.08e-06,0.0995,0.141,119.513,367000.0,4,10
6215,35.0,0.417,0.569,4.0,-7.56,1,0.0303,0.000302,0.606,0.104,0.0352,140.02,366957.0,4,6
13625,58.0,0.496,0.914,2.0,-6.368,0,0.0351,0.0963,0.765,0.085,0.723,172.965,184509.0,4,6
2416,71.0,0.758,0.378,8.0,-15.308,0,0.0449,0.284,,0.049,0.985,120.736,223867.0,4,10
7557,52.0,0.626,0.731,7.0,-8.0,1,0.0455,0.0211,0.00231,0.249,0.545,79.971,329867.0,4,10
15255,40.0,0.53,0.898,4.0,-7.516,1,0.039,0.00165,,0.3,0.77,130.251,267840.0,4,8
14603,30.0,0.649,0.791,4.0,-4.556,0,0.0515,0.136,0.000439,0.181,0.877,149.862,180938.0,4,10
2853,53.0,0.28,0.258,4.0,-14.109,1,0.029,0.206,0.000423,0.112,0.186,172.098,255633.0,3,6
14591,26.0,0.399,0.44,,-11.149,1,0.026,0.189,0.0457,0.197,0.488,168.467,205933.0,4,10
4836,29.0,0.677,0.608,1.0,-6.225,1,0.0957,0.239,7.24e-05,0.258,0.914,76.034,260013.0,4,2
3628,40.0,0.0985,0.00711,5.0,-30.47,0,0.0486,0.91,0.927,0.108,0.114,172.161,2.39445,4,7
8010,18.0,0.943,0.891,7.0,-3.567,1,0.366,0.0477,0.000181,0.0704,0.679,125.959,359987.0,4,1
5629,24.0,0.472,0.698,4.0,-10.468,0,0.377,0.0136,0.817,0.134,0.472,128.053,140625.0,4,6
10009,32.0,0.352,0.873,2.0,-7.366,1,0.142,0.0253,1.81e-06,0.89,0.497,104.662,281926.0,4,10
1260,45.0,0.535,0.763,1.0,-10.16,0,0.0788,0.578,0.573,0.103,0.166,148.027,229502.0,4,1
862,36.0,0.32,0.932,7.0,-4.85,1,0.0992,0.0024,0.0145,0.508,0.607,173.83,218533.0,4,1
5464,55.0,0.292,0.933,9.0,-4.371,1,0.064,0.000221,9.86e-06,0.473,0.296,202.012,210333.0,4,10
8036,38.0,0.585,0.891,9.0,-4.431,1,0.176,0.036,,0.0671,0.727,162.096,206216.0,4,10
7814,26.0,0.641,0.88,2.0,-3.094,1,0.156,0.0219,3.97e-05,0.0802,0.636,168.99,195947.0,4,1
4769,36.0,0.531,0.588,2.0,-5.799,0,0.0364,0.0416,,0.432,0.264,145.937,221199.0,4,9
12519,,0.567,0.959,8.0,-3.822,1,0.102,0.0995,6.07e-05,0.1,0.961,137.377,2.23221667,4,10
12237,66.0,0.486,0.94,7.0,-4.237,0,0.0605,0.00919,,0.0777,0.42,79.727,205653.0,4,10
7006,24.0,0.473,0.856,,-4.349,0,0.0321,0.124,,0.121,0.567,160.004,212147.0,4,9
9326,44.0,0.701,0.821,5.0,-4.496,0,0.0335,0.0276,0.00269,0.0875,0.651,107.99,203333.0,4,1
6814,22.0,0.529,0.905,8.0,-4.432,0,0.0457,0.00398,0.000414,0.322,0.321,76.058,175306.0,4,10
8691,59.0,0.601,0.946,4.0,-2.298,0,0.0656,0.0661,1.12e-05,0.388,0.58,141.929,208133.0,4,10
2361,79.0,0.831,0.727,8.0,-3.657,0,0.169,0.447,,0.111,0.703,125.068,213080.0,4,5
10264,,0.303,0.975,10.0,-1.952,0,0.199,0.000396,0.00485,0.791,0.198,97.504,255000.0,4,8
3896,49.0,0.678,0.967,1.0,-3.548,1,0.0873,0.00251,,0.264,0.365,109.03,194868.0,4,8
12322,52.0,0.347,0.8,7.0,-6.651,1,0.0294,0.00147,0.769,0.0975,0.66,103.725,431227.0,4,10
3535,23.0,0.465,0.39,7.0,-6.993,0,0.0341,0.843,1.24e-05,0.127,0.338,130.559,308373.0,3,10
3424,24.0,0.428,0.703,3.0,-5.042,0,0.0584,0.311,,0.0815,0.489,175.799,301327.0,4,9
2059,30.0,0.634,0.931,3.0,-4.768,0,0.267,0.159,,0.0873,0.557,143.996,256667.0,4,5
17536,34.0,0.377,0.867,4.0,-6.218,0,0.059,0.0136,0.000526,0.598,0.193,109.971,247750.0,4,8
3684,55.0,0.71,0.805,1.0,-5.471,1,0.0637,0.00909,,0.141,0.897,92.601,172013.0,4,10
2533,59.0,0.379,0.716,4.0,-4.312,1,0.0326,0.000272,0.00123,0.0786,0.239,92.721,279333.0,4,10
13583,56.0,0.568,0.871,1.0,-5.235,1,0.0494,0.00177,0.000406,0.36,0.693,133.064,197933.0,4,10
1466,27.0,0.636,0.692,3.0,-11.06,0,0.0351,0.31,,0.0979,0.9,123.611,6.019783333,4,3
9894,37.0,0.318,0.975,9.0,-4.21,1,0.0926,0.00562,0.826,0.345,0.668,174.206,182987.0,4,10
15063,47.0,0.541,0.283,,-13.659,1,0.0527,0.805,0.0367,0.0736,0.564,76.828,228627.0,4,2
14623,44.0,0.392,0.897,11.0,-3.835,1,0.0992,0.00161,0.000221,0.0416,0.561,184.053,347000.0,4,10
5906,52.0,0.268,0.811,1.0,-4.06,1,0.0409,7.61e-05,0.00122,0.0651,0.295,101.041,239627.0,3,10
14183,23.0,0.669,0.673,9.0,-12.698,1,0.551,0.647,,0.527,0.902,105.577,302933.0,4,5
8276,55.0,0.69,0.706,8.0,-4.235,0,0.0519,0.322,0.00024,0.132,0.229,159.905,190561.0,4,10
2508,51.0,0.618,0.684,4.0,-6.163,1,0.039,0.117,0.455,0.273,0.823,170.029,141750.0,4,1
14812,37.0,0.44,0.988,8.0,-3.46,0,0.0482,1.52e-05,0.389,0.0757,0.664,166.041,220392.0,4,10
3318,46.0,0.54,0.789,1.0,-5.27,0,0.0382,0.00414,0.207,0.124,0.54,99.022,252464.0,4,8
2357,43.0,0.674,0.522,4.0,-7.77,1,0.0275,0.669,,0.116,0.59,96.974,3.90823333,4,0
4778,37.0,0.681,0.717,9.0,-8.112,0,0.0346,0.143,0.000299,0.409,0.177,124.048,222284.0,4,9
17178,46.0,0.545,0.651,11.0,-5.966,0,0.044,0.000792,1.43e-05,0.484,0.502,99.926,176349.0,4,10
6149,34.0,0.341,0.721,9.0,-6.614,0,0.034,0.00593,0.0272,0.79,0.623,115.014,220404.0,4,6
8098,32.0,0.705,0.804,1.0,-10.024,1,0.0815,0.181,0.262,0.0951,0.319,115.008,378192.0,4,1
4949,,0.49,0.511,9.0,-9.636,0,0.0316,0.183,0.00648,0.172,0.676,125.052,263400.0,3,2
15090,32.0,0.436,0.951,9.0,-4.332,1,0.0561,0.00123,0.00354,0.509,0.612,95.999,213813.0,4,8
10075,82.0,0.516,0.595,5.0,-4.63,1,0.0313,0.0275,,0.109,0.222,119.972,340707.0,4,9
2056,72.0,0.747,0.573,11.0,-6.562,0,0.295,0.268,,0.302,0.551,90.036,142766.0,4,10
2518,85.0,0.828,0.492,,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,257800.0,4,9
12979,54.0,0.792,0.747,,-15.366,1,0.149,0.202,0.00429,0.221,0.968,144.15,219827.0,4,1
7249,39.0,0.75,0.775,5.0,-4.267,0,0.0582,0.0993,,0.568,0.526,112.961,204920.0,4,9
2086,36.0,0.474,0.943,7.0,-1.973,0,0.0577,3.6e-05,0.000114,0.364,0.423,103.441,202567.0,4,10
17144,42.0,0.852,0.156,6.0,-9.703,1,0.221,0.757,0.0893,0.11,0.26,118.035,200339.0,4,6
12447,79.0,0.207,0.243,10.0,-8.181,1,0.0306,0.925,0.0342,0.118,0.394,171.648,185176.0,4,9
16493,64.0,0.605,0.53,11.0,-6.346,1,0.0246,0.821,,0.131,0.397,93.95,3.940616667,4,3
68,30.0,0.247,0.88,2.0,-3.057,1,0.097,2.01e-05,0.309,0.122,0.333,134.445,237493.0,4,10
6905,55.0,0.613,0.555,9.0,-9.801,1,0.072,0.58,1.64e-06,0.119,0.556,127.267,166680.0,4,6
7053,45.0,0.754,0.497,4.0,-11.14,1,0.039,0.368,,0.193,0.789,95.502,2.82245,4,4
15345,36.0,0.229,0.99,4.0,-2.901,1,0.158,0.000189,0.0447,0.263,0.173,164.892,184773.0,4,8
2813,67.0,0.585,0.892,9.0,-4.466,1,0.0424,0.00108,,0.281,0.878,161.985,148207.0,4,9
14532,32.0,0.653,0.708,11.0,-7.778,0,0.0527,0.613,0.000731,0.239,0.929,111.386,164000.0,4,9
5854,40.0,0.71,0.461,7.0,-10.233,0,0.057,0.694,0.714,0.103,0.119,123.016,191220.0,4,1
1496,69.0,0.481,0.392,1.0,-11.381,1,0.0312,0.366,0.0452,0.124,0.52,124.572,269067.0,4,6
5572,33.0,0.438,0.471,10.0,-7.052,1,0.0272,0.00455,0.681,0.131,0.0837,95.157,473000.0,4,8
9761,56.0,0.747,0.453,10.0,-10.563,0,0.429,0.372,0.000276,0.125,0.374,108.911,259817.0,4,1
8094,15.0,0.441,0.651,6.0,-6.938,1,0.0398,0.0845,,0.164,0.383,175.924,179792.0,4,9
4102,53.0,0.694,0.669,6.0,-6.722,1,0.0385,0.0685,,0.114,0.618,115.146,146087.0,4,9
16411,55.0,0.934,0.65,9.0,-6.065,0,0.0698,0.13,,0.0902,0.649,135.869,190378.0,4,5
10767,60.0,0.89,0.505,11.0,-3.106,0,0.0481,0.00373,0.438,0.0474,0.94,119.011,174402.0,4,6
6351,43.0,0.527,0.303,6.0,-18.496,1,0.0365,0.763,0.883,0.0609,0.582,96.469,5.5,4,7
13420,45.0,0.554,0.0867,2.0,-16.493,0,0.0533,0.991,0.949,0.109,0.278,51.197,3.418216667,4,7
9053,62.0,0.173,0.872,7.0,-4.39,0,0.0533,0.00052,0.0353,0.324,0.39,149.361,226427.0,4,10
8377,30.0,0.8,0.382,3.0,-10.219,1,0.0277,0.382,0.00077,0.0855,0.524,111.944,3.8544,4,0
12693,40.0,0.566,0.57,2.0,-6.42,1,0.0329,0.688,1.73e-06,0.0943,0.96,83.403,166240.0,4,2
17753,37.0,0.492,0.574,,-11.036,1,0.0514,0.436,,0.482,0.777,136.094,170160.0,4,2
8015,89.0,0.746,0.765,6.0,-4.41,0,0.0993,0.0112,,0.0936,0.737,114.044,199054.0,4,9
9986,33.0,0.949,0.696,1.0,-11.919,1,0.226,0.00154,0.0659,0.0878,0.558,127.995,240000.0,4,6
6695,40.0,0.789,0.526,9.0,-12.742,1,0.052,0.0551,0.00286,0.283,0.764,142.727,261920.0,4,2
2489,68.0,0.684,0.481,2.0,-12.59,1,0.0384,0.475,6.57e-05,0.118,0.784,115.078,250000.0,4,6
2952,44.0,0.528,0.159,4.0,-13.696,1,0.0267,0.76,0.000205,0.209,0.423,82.986,315795.0,3,10
5634,57.0,0.741,0.598,5.0,-7.496,0,0.0271,0.146,0.116,0.321,0.629,91.99,177227.0,4,10
4533,76.0,0.697,0.467,9.0,-7.536,1,0.0715,0.248,,0.0941,0.572,82.082,229413.0,4,9
623,40.0,0.376,0.956,1.0,-4.936,1,0.0921,7.25e-05,0.112,0.117,0.406,200.211,190436.0,3,8
2576,85.0,0.573,0.902,6.0,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,225280.0,4,10
2887,48.0,0.412,0.977,7.0,-6.063,1,0.0717,8.57e-05,0.000156,0.0956,0.421,154.918,251200.0,4,8
7610,42.0,0.53,0.99,,-4.676,1,0.084,0.000968,0.0259,0.0626,0.582,148.524,221640.0,4,8
424,30.0,0.627,0.5,9.0,-9.615,0,0.046,0.0957,0.0385,0.522,0.353,120.025,178711.0,4,9
12486,40.0,0.298,0.584,11.0,-7.257,1,0.0322,0.0435,0.328,0.1,0.388,143.927,466382.0,3,8
7860,59.0,0.392,0.791,2.0,-2.785,1,0.0509,0.0113,1.43e-06,0.326,0.413,83.868,210493.0,4,10
12126,50.0,0.591,0.415,6.0,-6.936,1,0.0437,0.424,0.000299,0.111,0.197,90.483,3.3512,4,0
2805,36.0,0.221,0.9,1.0,-4.622,0,0.0693,3.37e-05,0.0105,0.0641,0.474,74.745,175387.0,4,8
4754,64.0,0.423,0.94,1.0,-4.012,0,0.0635,0.00166,,0.178,0.505,149.934,206520.0,4,10
4809,40.0,0.453,0.313,2.0,-15.476,1,0.036,0.714,0.805,0.107,0.404,124.846,8.256,3,7
3012,35.0,0.346,0.948,2.0,-6.858,1,0.0687,0.00172,0.85,0.0675,0.282,96.15,204438.0,4,8
11954,60.0,0.567,0.821,6.0,-5.894,1,0.0371,0.418,,0.108,0.895,150.106,132307.0,4,10
8818,47.0,0.766,0.605,11.0,-7.932,1,0.21,0.174,3.88e-05,0.0555,0.957,77.447,185884.0,4,9
7492,61.0,0.76,0.534,4.0,-5.032,0,0.0539,0.459,,0.524,0.544,100.021,194400.0,4,9
12891,41.0,0.671,0.644,9.0,-5.126,0,0.421,0.317,,0.105,0.555,171.73,158137.0,4,5
15769,53.0,0.385,0.947,4.0,-3.141,1,0.0729,4.72e-05,0.616,0.662,0.831,176.28,228080.0,4,10
7766,59.0,0.807,0.788,9.0,-6.043,0,0.109,0.273,0.00104,0.225,0.602,83.016,176250.0,4,6
11227,45.0,0.486,0.986,6.0,-6.466,1,0.0683,3.55e-05,0.201,0.342,0.531,155.65,161893.0,4,8
5565,59.0,0.689,0.707,11.0,-8.815,0,0.219,0.147,0.0774,0.116,0.624,109.945,237240.0,4,1
9640,49.0,0.69,0.494,9.0,-9.147,0,0.0275,0.407,3.79e-06,0.114,0.84,127.314,205053.0,4,2
1672,48.0,0.506,0.0952,7.0,-13.51,1,0.0385,0.91,3.55e-06,0.111,0.162,111.163,265687.0,4,1
17,31.0,0.564,0.801,1.0,-4.73,0,0.0473,0.00233,0.0078,0.067,0.401,105.01,154293.0,4,10
7534,28.0,0.502,0.383,,-7.441,1,0.0334,0.573,4.95e-05,0.472,0.254,104.78,269050.0,3,2
10078,,0.444,0.991,11.0,-5.412,0,0.101,1.65e-05,0.787,0.118,0.665,104.882,220693.0,4,6
5836,13.0,0.503,0.328,7.0,-12.158,1,0.0268,0.296,8.73e-06,0.132,0.354,91.981,267267.0,4,10
7430,64.0,0.825,0.512,9.0,-7.679,1,0.139,0.0204,,0.312,0.537,101.986,228000.0,4,5
14877,34.0,0.538,0.863,4.0,-6.123,0,0.139,0.00495,2.07e-05,0.314,0.606,127.618,155067.0,4,8
14219,6.0,0.43,0.968,8.0,-6.34,1,0.134,0.000619,,0.491,0.239,142.928,127807.0,4,6
3308,56.0,0.664,0.759,9.0,-4.926,0,0.0428,0.0169,0.0025,0.179,0.771,160.023,221466.0,4,6
6135,30.0,0.492,0.264,4.0,-13.1,1,0.0308,0.941,6.06e-06,0.241,0.515,109.057,4.750366667,4,3
17934,35.0,0.603,0.563,,-5.584,1,0.0258,0.173,0.000755,0.149,0.477,78.515,181844.0,4,10
2057,77.0,0.833,0.748,1.0,-5.963,1,0.229,0.0331,1.44e-06,0.0728,0.484,119.925,140000.0,4,9
4243,74.0,0.53,0.538,5.0,-6.672,1,0.0335,0.17,2.83e-06,0.248,0.288,148.051,233654.0,4,9
5442,36.0,0.707,0.77,,-9.284,1,0.0828,0.179,4.08e-05,0.0867,0.849,118.992,140507.0,4,10
16646,46.0,0.292,0.971,10.0,-3.084,0,0.104,0.000298,0.00195,0.348,0.411,99.65,230765.0,4,8
4159,61.0,0.348,0.635,4.0,-6.836,1,0.0386,0.0932,,0.126,0.144,87.974,306240.0,3,10
9414,42.0,0.567,0.763,1.0,-4.361,0,0.0579,0.15,0.00142,0.0704,0.777,111.079,202844.0,4,6
5749,72.0,0.867,0.648,3.0,-6.942,0,0.253,0.265,2.62e-06,0.217,0.527,108.005,198032.0,4,9
7854,24.0,0.655,0.291,7.0,-10.863,1,0.0777,0.409,5.23e-06,0.103,0.674,114.993,229093.0,4,2
2079,68.0,0.469,0.79,7.0,-6.889,1,0.0391,0.000148,0.372,0.282,0.466,107.45,381947.0,4,8
13018,33.0,0.566,0.975,9.0,-6.806,1,0.0471,0.00136,0.000543,0.435,0.574,119.659,264893.0,4,10
10697,28.0,0.733,0.903,8.0,-6.019,1,0.0627,0.00592,0.489,0.0803,0.728,124.992,205497.0,4,9
909,67.0,0.447,0.568,2.0,-4.975,1,0.0305,0.295,3.26e-06,0.355,0.149,90.933,249760.0,4,6
7362,19.0,0.71,0.583,9.0,-7.309,1,0.321,0.154,5.02e-05,0.723,0.476,79.938,256707.0,4,5
9058,5.0,0.272,0.203,9.0,-9.706,1,0.0294,0.784,,0.0805,0.172,109.581,3.651783333,5,9
6769,9.0,0.861,0.551,1.0,-7.78,1,0.11,0.000442,0.833,0.0816,0.921,139.963,288862.0,4,5
7837,46.0,0.56,0.0792,2.0,-18.169,1,0.0609,0.992,0.924,0.141,0.272,125.561,3.05295,4,7
3153,41.0,0.609,0.88,11.0,-4.391,0,0.0676,0.00061,0.0182,0.0814,0.645,120.006,203547.0,4,1
6077,33.0,0.285,0.973,7.0,-5.123,0,0.0965,4.7e-06,0.417,0.228,0.0769,159.75,323200.0,4,8
15592,13.0,0.447,0.252,11.0,-10.986,1,0.0377,0.669,,0.279,0.174,120.777,2.833066667,4,0
5995,53.0,0.446,0.811,1.0,-3.075,1,0.0417,0.0175,0.0106,0.158,0.678,175.716,181293.0,4,10
15174,67.0,0.159,0.946,9.0,-5.756,1,0.0629,0.0235,8.06e-06,0.387,0.309,165.014,149467.0,1,8
12778,17.0,0.464,0.528,2.0,-8.528,1,0.0347,0.00119,0.000363,0.117,0.518,186.71,313627.0,3,2
6651,79.0,0.636,0.822,,-4.321,0,0.0507,0.0534,1.99e-05,0.121,0.338,127.225,147402.0,4,9
9411,76.0,0.647,0.729,5.0,-6.251,1,0.0236,0.0206,0.0489,0.134,0.687,94.01,249627.0,4,10
12456,39.0,0.615,0.56,,-7.721,1,0.0389,0.442,3.99e-06,0.132,0.502,131.859,227600.0,4,10
16239,52.0,0.804,0.591,11.0,-11.184,0,0.0797,0.198,0.00179,0.0597,0.762,118.015,222901.0,4,1
7197,69.0,0.734,0.518,11.0,-9.514,0,0.0813,0.556,0.00282,0.111,0.555,101.083,166000.0,4,6
5838,51.0,0.538,0.975,5.0,-4.518,0,0.0668,0.000416,0.0561,0.296,0.588,100.046,210827.0,4,10
1839,66.0,0.778,0.899,2.0,-6.552,1,0.0451,0.0028,0.0345,0.0263,0.881,119.995,204133.0,4,9
16678,34.0,0.609,0.786,4.0,-6.777,0,0.264,0.462,,0.109,0.544,92.795,192568.0,4,5
16365,38.0,0.39,0.899,6.0,-3.57,1,0.0469,0.000267,0.074,0.0472,0.244,132.421,302417.0,1,8
16051,38.0,0.445,0.886,7.0,-6.592,1,0.0647,0.00158,5.44e-06,0.0424,0.382,81.37,227262.0,4,6
16833,15.0,0.561,0.874,3.0,-3.396,1,0.0307,0.00412,6.1e-06,0.162,0.685,134.934,242416.0,4,9
6739,64.0,0.403,0.709,9.0,-9.366,1,0.0885,0.0746,0.494,0.132,0.654,97.161,254133.0,4,10
14383,34.0,0.62,0.501,6.0,-6.608,0,0.032,0.00159,0.000731,0.337,0.353,75.005,210498.0,4,10
749,53.0,0.474,0.369,6.0,-14.216,1,0.0296,0.0291,5.86e-05,0.128,0.156,61.207,274107.0,4,8
5867,,0.448,0.942,6.0,-4.788,0,0.0486,0.000889,0.146,0.28,0.346,98.073,243000.0,4,8
7291,2.0,0.671,0.454,9.0,-6.306,1,0.257,0.916,0.0331,0.167,0.817,173.672,3.402883333,4,3
9297,42.0,0.737,0.801,7.0,-7.328,0,0.0297,0.00316,0.646,0.0697,0.963,99.988,201867.0,4,6
14372,29.0,0.419,0.894,8.0,-5.223,0,0.068,0.0007,0.931,0.156,0.16,154.982,442907.0,4,8
13466,38.0,0.634,0.78,1.0,-6.273,1,0.233,0.154,,0.0505,0.318,140.117,236571.0,4,5
16249,45.0,0.499,0.485,2.0,-12.348,1,0.0509,0.221,0.503,0.0578,0.167,188.046,246027.0,4,10
12124,71.0,0.672,0.738,,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,277040.0,4,10
3685,51.0,0.253,0.0118,8.0,-33.838,1,0.042,0.952,0.614,0.245,0.149,82.843,316167.0,3,1
12446,60.0,0.581,0.934,8.0,-5.511,1,0.0547,0.000169,0.00297,0.0901,0.391,120.024,184027.0,4,1
11269,35.0,0.703,0.664,7.0,-17.789,0,0.0797,0.245,0.906,0.108,0.597,148.718,570613.0,4,10
10256,82.0,0.542,0.905,9.0,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398,203347.0,4,10
11144,59.0,0.435,0.901,10.0,-3.694,0,0.0429,0.000303,0.0072,0.185,0.547,143.646,279173.0,4,8
10878,30.0,0.276,0.56,9.0,-7.156,0,0.0343,0.867,0.51,0.0682,0.214,169.239,218520.0,4,10
15184,39.0,0.555,0.553,5.0,-6.627,1,0.0265,0.406,8.08e-06,0.0969,0.37,120.069,204440.0,4,10
10404,37.0,0.478,0.856,11.0,-4.274,1,0.101,0.127,,0.158,0.339,89.863,3.668666667,4,9
10467,64.0,0.644,0.349,2.0,-5.315,0,0.0364,0.206,3.36e-05,0.125,0.246,94.971,198947.0,4,1
8435,49.0,0.437,0.94,10.0,-5.467,1,0.0895,0.00616,0.0055,0.0898,0.426,95.171,287667.0,4,8
231,35.0,0.658,0.12,,-9.397,0,0.136,0.983,,0.101,0.278,104.208,198213.0,3,9
10617,51.0,0.408,0.947,4.0,-3.522,1,0.0532,0.00108,0.195,0.168,0.306,101.053,262533.0,4,8
15091,75.0,0.386,0.607,10.0,-7.7,1,0.0261,0.0112,1.38e-05,0.088,0.532,147.207,425653.0,4,10
12619,34.0,0.62,0.848,,-7.201,1,0.0391,0.354,0.00103,0.698,0.732,133.557,132880.0,4,10
11297,67.0,0.256,0.924,7.0,-6.685,1,0.113,0.00369,0.234,0.114,0.28,113.574,417227.0,4,8
10462,77.0,0.721,0.745,7.0,-3.508,0,0.0366,0.151,1.24e-06,0.372,0.699,90.988,3.21241667,4,9
685,29.0,0.538,0.0814,5.0,-18.022,1,0.0788,0.989,0.000334,0.0935,0.26,174.765,196827.0,4,2
14389,51.0,0.652,0.709,7.0,-5.88,1,0.0355,0.396,0.00012,0.28,0.772,148.192,192299.0,4,6
2958,80.0,0.699,0.882,4.0,-3.896,0,0.0311,0.00296,0.0544,0.13,0.657,120.016,196813.0,4,9
5823,71.0,0.896,0.78,1.0,-3.547,1,0.202,0.0828,,0.0857,0.85,106.032,163019.0,4,9
10002,39.0,0.696,0.499,8.0,-5.484,1,0.0312,0.0886,1.11e-06,0.105,0.476,79.985,283253.0,4,9
559,2.0,0.575,0.838,4.0,-11.252,0,0.0534,0.0297,0.0836,0.974,0.488,113.303,278693.0,4,2
14120,48.0,0.532,0.678,5.0,-5.59,1,0.19,0.673,,0.103,0.971,205.973,126680.0,4,10
9199,51.0,0.603,0.443,,-7.73,1,0.0288,0.533,2.24e-06,0.097,0.421,134.891,246227.0,4,1
12353,48.0,0.292,0.927,7.0,-5.142,0,0.081,0.000126,0.0417,0.178,0.403,92.236,190800.0,4,8
